id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2cQ9D0cQjUJmLs8rWFkcRH,0.5999999999999999,0.732786852309485,1.0,0.8760057345153459,1.0,0.43160127253446445,0.019072720305925616,0.0,0.11856312292358803,0.6518218623481782,0.7918603343578979
2Z71PZlOeF9YVze4hy1A1a,0.7926315789473684,0.7468507021879333,0.9090909090909092,0.8771760437695664,0.0,0.35418875927889715,0.015960259131870724,0.0,0.10818106312292358,0.6427125506072875,0.7919446735137567
1B87ZDrD3Pno9hS4stamWO,0.6610526315789473,0.48164667590862514,0.09090909090909091,0.7894321074343897,1.0,0.503711558854719,0.29116206810233725,0.0,0.09883720930232556,0.33400809716599195,0.5096006072419221
6yHkPtl6UQ7RjtJLBPzbJw,0.43684210526315786,0.36913587688103994,0.7272727272727273,0.723046314988736,1.0,0.07857900318133616,0.030418143295222484,7.670682730923695e-06,0.37396179401993357,0.0924089068825911,0.44861871204737985
5FsJ8AUxW1KBypdhFvbdkd,0.7947368421052631,0.6011893998754344,0.4545454545454546,0.8287544983761961,0.0,0.32767762460233296,0.14457518700168742,0.0,0.09779900332225913,0.659919028340081,0.7308550116200615
4AFgK4wP1iD5i8BYaLr9Vf,0.8494736842105263,0.7378096558375022,0.6363636363636364,0.8194797975364992,1.0,0.16012725344644752,0.10943449632687413,0.007319277108433735,0.08430232558139533,0.5465587044534413,0.7216761001574331
70eFcWOvlMObDhURTqT4Fv,0.6736842105263158,0.6484037530387962,0.4545454545454546,0.7795137365048715,0.0,0.19724284199363734,0.12449479233036555,0.0,0.059489202657807314,0.5526315789473685,0.4356539095884249
4vUmTMuQqjdnvlZmAH61Qk,0.9021052631578946,0.6222851746931067,0.8181818181818182,0.8303636736007491,0.0,0.08748674443266172,0.1485912659359518,0.0,0.06613372093023255,0.6761133603238867,0.4591283079691132
4wuCQX7JvAZLlrcmH4AeZF,0.7852631578947368,0.7890422518232777,0.36363636363636365,0.8304514467948158,1.0,0.12725344644750794,0.21284852888418185,0.0,0.04578488372093023,0.6143724696356275,0.44514675013119426
1AI7UPw3fgwAFkvAlZWhE0,0.9315789473684211,0.7639282341831917,0.7272727272727273,0.8556130957605549,0.0,0.22905620360551432,0.21987666701914452,0.0,0.14451827242524917,0.6123481781376519,0.6468719544193717
0VsGaRXR5WAzpu51unJTis,0.5947368421052631,0.2425612279750065,0.18181818181818182,0.7721115304719274,1.0,0.03361611876988335,0.7610433034112695,8.855421686746989e-06,0.27221760797342187,0.24190283400809715,0.3825952095359472
0hVXuCcriWRGvwMV1r5Yn9,0.84,0.6775360135012959,0.5454545454545454,0.869422744960356,1.0,0.04687168610816543,0.09055892533583156,0.0,0.06914451827242524,0.853238866396761,0.4777157208186521
1DhRbox3xkceP64k3JeYfW,0.7536842105263157,0.8252064372250014,0.4545454545454546,0.8614646420316571,0.0,0.05249204665959704,0.1325269501988943,0.0,0.35112126245847175,0.9210526315789475,0.711995839268311
0AtP8EkGPn6SwxKDaUuXec,0.8968421052631578,0.6674904064452615,1.0,0.8143596945492848,0.0,0.1951219512195122,0.13553900939959257,0.0,0.8048172757475084,0.7348178137651822,0.4265968213509259
1Bdptrvb7nQkq8kCw3siE9,0.7,0.6815542563237097,0.18181818181818182,0.873606600544194,1.0,0.30858960763520676,0.1124465555275724,0.0,0.07599667774086379,0.6983805668016194,0.4295065222280531
