id,latent_0,latent_1,latent_2,latent_3,latent_4
66dgNf8aAxRr8SCIEXNtaa,-0.949526,0.8174965,0.5274832,0.2618866,0.02024142
2bBytC9NqBQJGPRxqh1BK7,-0.43189806,-0.094475426,0.51182353,-0.082895584,-0.5092617
30BMdMVWYM0cvT0SHYNPEC,0.31981802,-0.24826223,0.7955759,-1.0195227,-1.6898429
1UsqR0mGlDV6vp0V7mWuSw,1.6488396,-0.8762383,-0.5824901,0.15166277,-0.8733792
4EBQHQZe58RtP13QSLUBwL,0.59104097,0.39743233,1.5344712,1.3191695,-2.0595455
4cub0tf4JgZZ7UhB9bUQhh,0.4536406,-1.3406371,-1.2665727,0.34725836,1.1184499
4ZeluJQQwC8sdUeOXa8Kwc,0.20556779,-0.82908386,0.38785824,0.15893134,-0.37476358
3A16KjWMsZrJVTpF8qJEJa,0.20120983,-0.24058135,-1.4235271,-1.5485591,1.4227489
5oZzgZ0N5gwYJJ7xnoqLa4,-1.2735991,1.1895789,0.4672564,0.44889218,0.6768565
5Ahtu6NyzHTXtHDG5fcmKL,-0.06412353,0.926849,-1.888572,0.41640344,-0.052195407
0v2DZYuF13Zt1TMi56VoBF,0.12168362,1.641235,-0.25884074,0.79451543,0.5326933
6Dq8FZrvx9S28iyaKSwn9x,0.9104145,0.22578755,0.5493317,1.0882034,-0.9603013
0b6UoVjUzFyZNpHI0aAhKt,0.64360535,0.003838162,-0.8573847,2.018574,-0.80238676
0QzliuYF4qRMXI76GwepXq,-0.18723087,0.9786113,-0.81359524,1.3723192,-0.09619589
03nPEoQOYMuDe7KmGljpmd,1.4318275,-1.408472,-0.078182146,-0.73032224,-1.3052721
0v3dGE3xByIKFuSfvV2tsv,0.7856022,1.4793808,1.1107126,1.0245404,0.33844736
6ENHCuUSpsaCfYbJm1rznZ,0.17694274,0.7602853,1.0004326,0.45949432,-1.7597756
24gP4QPktYZq9ieUP0cEtq,0.4710794,0.8290208,0.38580674,0.45018744,1.0640863
0mu7O2SxjEaaWSH0R3ADBa,1.4250174,0.85401,0.021690713,0.518643,1.0749716
6p0yQSeVuPdRtItEqOIFaI,0.45736542,0.26243702,-0.7289467,0.8139592,0.9707912
3DrvhA1uYf0Isu7iNTNBCZ,0.83352256,0.5423536,-0.9351183,-0.049153283,1.0873643
6Dwryb0ZGDMeJ8nb90bD3z,-0.21455748,-1.6815302,0.5227652,1.5551091,-0.575513
3bIbzNBxRIpG2h5oRcoHyV,-0.3321652,0.46586806,-2.6544302,0.22944614,0.7835825
3T6DeNvTcUjM7nLRVLlXlT,-0.3937378,-0.22603062,-0.074536726,0.89192617,0.975901
6MF9mKOj9CHFg305FVp7wn,-2.131704,-0.05701549,0.22077876,-1.0103118,-0.0025863706
3aCjJgEAW018s9BuGiAgob,-0.7903353,1.2848313,1.044763,1.9335402,-0.7053556
71BgDMZ6FbL5AKcERaxJ6n,-0.2646064,0.2314222,-1.9357414,1.583985,-0.61429435
1oH5Mg9dyAj15lWUmXvmFW,0.4493978,1.2837486,0.07777925,-1.1908194,-0.3736298
3ERZA2UXA1cD5WAELjSpa6,-0.10190648,-1.7190781,-0.8362608,-1.591205,0.34375408
5MLjVCMjJKwXLk6JmPeOPe,-0.26899227,-0.24060637,-0.7559992,-0.8522233,-0.54782915
1Tu5fpEjGl78R4mA6pQ7Tk,-1.1956488,0.71657807,1.9183369,0.104669064,-0.29563135
0Tdh0VTkzmPGeAQIXHYhVJ,0.43867448,-0.599478,0.83643216,1.5923786,2.4442604
663iGCIjbc3DfpGOooKvDR,-0.39947766,-0.8249181,0.238886,-0.27696294,0.66849524
4qhw4uLzaW0TjgGvTxJ2Pu,-0.8109416,-0.27403194,2.5480518,1.7059482,0.2851244
2neYa7NyqIuPR67tehREKZ,-1.0002989,-0.6662642,0.14853586,-1.1088911,-0.5818248
3uPt20NZVz4AOhFPUzzEv6,0.6760632,-1.154263,1.4448135,-0.277983,0.8050684
